33 121
27 28 0.9114
27 29 0.7410
28 29 2.0000
28 15 0.5039
28 23 0.7434
28 32 1.0274
29 23 0.6643
29 32 0.8251
15 4 0.5117
15 13 1.0051
15 26 0.8666
15 21 0.8630
15 11 0.5117
15 0 0.6328
15 24 1.1462
15 22 0.5893
23 25 0.7143
4 5 0.6913
4 13 0.5990
4 26 0.6053
4 6 0.9212
4 21 1.0236
4 0 0.5000
4 22 0.6939
4 16 0.5341
5 13 0.9401
5 26 1.3640
5 6 0.5305
5 24 0.5117
13 26 1.1268
13 6 0.8809
13 21 1.0774
13 0 1.0513
13 11 0.8593
13 9 0.5827
13 22 0.7218
13 24 0.8593
13 16 0.5414
13 3 0.5925
13 12 0.7707
26 6 0.9015
26 21 0.9180
26 11 0.8290
26 0 0.8070
26 22 0.8702
26 24 1.0010
26 9 0.5485
6 21 1.3634
6 0 0.8406
6 11 0.7924
6 24 0.7504
6 12 0.6177
6 3 0.5556
6 22 1.2426
6 30 0.6328
21 0 0.9276
21 22 1.2884
21 11 0.7881
21 16 0.6208
21 24 0.8310
21 12 0.5591
21 3 0.5193
0 11 0.8463
0 22 0.9613
0 24 1.1299
0 16 0.7881
0 9 0.6503
0 12 0.9260
0 3 0.6834
0 25 0.5990
22 11 0.6699
22 24 0.9260
22 9 0.6268
22 3 0.5268
22 12 0.6298
22 10 0.8329
22 30 0.7193
16 11 0.9643
16 8 0.5230
16 24 0.7193
16 9 1.0010
16 12 1.0010
16 14 0.5193
16 3 0.5556
16 25 0.9212
16 20 0.6021
24 11 0.7410
24 8 0.6208
24 9 0.7595
24 12 0.8090
24 3 0.6671
24 25 0.7068
24 2 0.5794
24 17 0.5078
11 8 0.5556
11 9 0.7118
11 12 1.0439
11 3 0.7945
11 25 0.9508
9 12 0.9886
9 25 1.0989
9 7 0.7242
9 31 0.7315
3 12 0.7363
3 1 1.0300
12 14 0.6387
12 25 1.0809
12 20 0.6887
12 31 0.5450
25 7 0.8809
25 31 0.8463
2 10 0.6991
2 20 1.0854
2 19 0.5117
2 18 0.7042
20 10 0.7527
20 19 0.5727
20 18 0.5893
10 19 1.1066
10 18 1.1381
19 18 1.2132
